,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCTOT,unemployed
11689336,11689336,2019,201901,539940,2019010110524.0,12.0,2019005399401,21,0.0,230021,4,1,12.0,2,18,6,63,1,10,8000,0
3747003,3747003,2007,200701,1163371,266834.0,26.0,2007011633711,48,0.0,40048,1,2,25.0,2,35,6,62,3,30,2000,0
12897300,12897300,2019,201901,1085342,2019000324199.0,255.0,2019010853421,42,133.0,360142,1,1,256.0,1,39,10,101,1,10,70000,0
1708618,1708618,2007,200701,218911,626868.0,86.0,2007002189111,8,0.0,50208,1,1,87.0,1,43,7,71,1,10,31000,0
6136629,6136629,2011,201101,849478,804950.0,106.0,2011008494781,36,61.0,380336,1,2,106.0,2,40,6,63,2,20,0,1
9132991,9132991,2015,201501,797002,1410169.0,153.0,2015007970021,34,3.0,30234,1,1,153.0,2,27,10,101,1,10,86000,0
7584672,7584672,2015,201501,119219,531901.0,59.0,2015001192191,6,0.0,530206,1,2,51.0,2,64,0,2,3,30,0,0
3315001,3315001,2007,200701,961856,627712.0,63.0,2007009618561,39,113.0,410139,1,1,62.0,1,53,7,71,1,10,71000,0
4069319,4069319,2007,200701,1304156,554453.0,219.0,2007013041561,53,33.0,200753,1,1,216.0,1,27,6,62,1,10,10000,0
2718324,2718324,2007,200701,687278,117384.0,27.0,2007006872781,28,0.0,180028,1,4,52.0,2,17,4,40,1,10,2500,0
11827559,11827559,2019,201901,602591,2019000838603.0,60.0,2019006025911,24,21.0,30124,1,2,57.0,2,63,6,63,1,10,35300,0
2677388,2677388,2007,200701,668287,376974.0,39.0,2007006682871,27,0.0,10027,1,2,40.0,2,62,8,81,1,10,32000,0
12053492,12053492,2019,201901,704639,2019000773291.0,220.0,2019007046391,27,163.0,120227,1,4,165.0,1,17,5,50,3,30,2000,0
2382125,2382125,2007,200701,530484,1229931.0,45.0,2007005304841,21,0.0,200021,1,1,44.0,2,75,6,62,3,30,20500,0
12770315,12770315,2019,201901,1024961,2019001264885.0,64.0,2019010249611,39,35.0,90439,1,1,64.0,1,38,10,101,1,10,140500,0
2404715,2404715,2007,200701,541154,601760.0,270.0,2007005411541,22,0.0,240022,1,1,253.0,1,22,2,24,1,10,18200,0
11571756,11571756,2019,201901,486811,2019000237239.0,54.0,2019004868111,18,97.0,230118,1,2,76.0,2,49,10,101,3,30,0,0
2753725,2753725,2007,200701,703769,200960.0,97.0,2007007037691,29,189.0,170829,1,2,142.0,1,39,6,62,2,20,6000,1
5066920,5066920,2011,201101,375689,1029993.0,31.0,2011003756891,13,0.0,20013,1,1,30.0,2,29,6,63,1,10,18000,0
