OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_route,routes,route_filter,route_sort,mode,direction,trips_wd,trips_sa,trips_su,trips_7d,svc_days,agency,feed_version,start_date,end_date,from_gtfs,change_log,comments,status_code,status_notes,status_start_date,status_end_date,GEOIDFQ,county,muni,hood,munihood_full,munihood_display,empty_feat,x,y,,,,,,,,Count,median_housing_cost,,,,,,
198385,W15307,99898,MONONGAHELA INCLINE AT UPPER STATION,40.431371,-80.006097,W15307-MI,MI,MI,MI,INCLINE,"IB,OB",78,97,62,549,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420031903001041,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Mount Washington,"Mount Washington, Pittsburgh",Mount Washington,0,-80.006097,40.431371,,,,,,,,237,208618,,,,,,
198386,W15308,99897,MONONGAHELA INCLINE AT LOWER STATION,40.432559,-80.004904,W15308-MI,MI,MI,MI,INCLINE,"IB,OB",78,97,62,549,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420039807001023,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",South Shore,"South Shore, Pittsburgh",South Shore,0,-80.004904,40.432559,,,,,,,,121,266260,,,,,,
198387,W15307,99898,MONONGAHELA INCLINE AT UPPER STATION,40.431371,-80.006097,W15307,MI,All Routes,00,INCLINE,"IB,OB",78,97,62,549,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420031903001041,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Mount Washington,"Mount Washington, Pittsburgh",Mount Washington,0,-80.006097,40.431371,,,,,,,,26,229777,,,,,,
198388,W15308,99897,MONONGAHELA INCLINE AT LOWER STATION,40.432559,-80.004904,W15308,MI,All Routes,00,INCLINE,"IB,OB",78,97,62,549,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420039807001023,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",South Shore,"South Shore, Pittsburgh",South Shore,0,-80.004904,40.432559,,,,,,,,102,557382,,,,,,
198393,W06290,99900,DUQUESNE INCLINE AT LOWER STATION,40.440126,-80.018026,W06290-DQI,DQI,DQI,DQI,INCLINE,"IB,OB",73,91,73,529,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420039807001003,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",South Shore,"South Shore, Pittsburgh",South Shore,0,-80.018026,40.440126,,,,,,,,75,231829,,,,,,
198394,W06300,99899,DUQUESNE INCLINE AT UPPER STATION,40.43851,-80.019468,W06300-DQI,DQI,DQI,DQI,INCLINE,"IB,OB",74,91,73,534,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420031911002003,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Duquesne Heights,"Duquesne Heights, Pittsburgh",Duquesne Heights,0,-80.019468,40.43851,,,,,,,,71,142515,,,,,,
198395,W06290,99900,DUQUESNE INCLINE AT LOWER STATION,40.440126,-80.018026,W06290,DQI,All Routes,00,INCLINE,"IB,OB",73,91,73,529,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420039807001003,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",South Shore,"South Shore, Pittsburgh",South Shore,0,-80.018026,40.440126,,,,,,,,97,348467,,,,,,
198396,W06300,99899,DUQUESNE INCLINE AT UPPER STATION,40.43851,-80.019468,W06300,DQI,All Routes,00,INCLINE,"IB,OB",74,91,73,534,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,0,inclines added manually (missing from gtfs),inclines added manually (missing from gtfs),1,,1/1/70 6:00,12/31/99 6:00,1000000US420031911002003,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Duquesne Heights,"Duquesne Heights, Pittsburgh",Duquesne Heights,0,-80.019468,40.43851,,,,,,,,76,336938,,,,,,
198405,S00010,11652,10TH AVE AT ANN ST,40.406402,-79.908138,S00010-53L,53L,53L,53L,BUS,IB,19,0,0,95,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002036,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.908138,40.406402,,,,,,,,75,304293,,,,,,
198406,S00010,11652,10TH AVE AT ANN ST,40.406402,-79.908138,S00010,53L,All Routes,00,BUS,IB,19,0,0,95,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002036,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.908138,40.406402,,,,,,,,628,298575,,,,,,
198407,N71237,20654,10TH AVE AT GARFIELD ST,40.606814,-79.753136,N71237,P10,All Routes,00,BUS,OB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035002024,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.753136,40.606814,,,,,,,,44,125482,,,,,,
198408,N71237,20654,10TH AVE AT GARFIELD ST,40.606814,-79.753136,N71237-P10,P10,P10,P10,BUS,OB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035002024,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.753136,40.606814,,,,,,,,108,131197,,,,,,
198409,N71239,20656,10TH AVE AT ORMOND ST,40.608356,-79.750534,N71239,P10,All Routes,00,BUS,OB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035002015,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.750534,40.608356,,,,,,,,75,189121,,,,,,
198410,N71239,20656,10TH AVE AT ORMOND ST,40.608356,-79.750534,N71239-P10,P10,P10,P10,BUS,OB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035002015,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.750534,40.608356,,,,,,,,224,230325,,,,,,
198411,N71238,20655,10TH AVE AT SUMMIT ST,40.607629,-79.751772,N71238,P10,All Routes,00,BUS,OB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035002013,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.751772,40.607629,,,,,,,,28,156509,,,,,,
198412,N71238,20655,10TH AVE AT SUMMIT ST,40.607629,-79.751772,N71238-P10,P10,P10,P10,BUS,OB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035002013,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.751772,40.607629,,,,,,,,66,75059,,,,,,
198413,S00080,11650,12TH AVE AT AMITY ST,40.404401,-79.908146,S00080-53,53,53,53,BUS,IB,0,14,8,22,"SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002049,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.908146,40.404401,,,,,,,,72,219747,,,,,,
198414,S00080,11650,12TH AVE AT AMITY ST,40.404401,-79.908146,S00080-53L,53L,53L,53L,BUS,IB,19,0,0,95,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002049,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.908146,40.404401,,,,,,,,24,556217,,,,,,
198415,S00080,11650,12TH AVE AT AMITY ST,40.404401,-79.908146,S00080,"53,53L",All Routes,00,BUS,IB,19,14,8,117,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002049,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.908146,40.404401,,,,,,,,43,235082,,,,,,
198416,S00090,19384,12TH AVE AT AMITY ST FS,40.404314,-79.90838,S00090-53,53,53,53,BUS,OB,0,14,8,22,"SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002048,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.90838,40.404314,,,,,,,,57,367292,,,,,,
198417,S00090,19384,12TH AVE AT AMITY ST FS,40.404314,-79.90838,S00090-53L,53L,53L,53L,BUS,OB,19,0,0,95,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002048,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.90838,40.404314,,,,,,,,98,101867,,,,,,
198418,S00090,19384,12TH AVE AT AMITY ST FS,40.404314,-79.90838,S00090,"53,53L",All Routes,00,BUS,OB,19,14,8,117,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034838002048,"Allegheny County, PA","Homestead borough (Allegheny, PA)",,"Homestead bgh, Allegheny County",Homestead bgh,0,-79.90838,40.404314,,,,,,,,242,296420,,,,,,
198419,E70002,18641,16TH ST AT PENN AVE,40.448769,-79.987392,E70002-54,54,54,54,BUS,IB,53,34,22,321,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030203001108,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Strip District,"Strip District, Pittsburgh",Strip District,0,-79.987392,40.448769,,,,,,,,157,215445,,,,,,
198420,E70002,18641,16TH ST AT PENN AVE,40.448769,-79.987392,E70002,54,All Routes,00,BUS,IB,53,34,22,321,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420030203001108,"Allegheny County, PA","Pittsburgh city (Allegheny, PA)",Strip District,"Strip District, Pittsburgh",Strip District,0,-79.987392,40.448769,,,,,,,,184,195213,,,,,,
198421,N71244,20648,1ST AVE AT LOCK ST,40.600017,-79.752666,N71244,P10,All Routes,00,BUS,IB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035004033,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.752666,40.600017,,,,,,,,53,233113,,,,,,
198422,N71244,20648,1ST AVE AT LOCK ST,40.600017,-79.752666,N71244-P10,P10,P10,P10,BUS,IB,5,0,0,25,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034035004033,"Allegheny County, PA","Tarentum borough (Allegheny, PA)",,"Tarentum bgh, Allegheny County",Tarentum bgh,0,-79.752666,40.600017,,,,,,,,123,236638,,,,,,
